"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0103639","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Aladdin","Feature Film","Ron Clements, John Musker","","8.0","90","1992","animation, adventure, comedy, family, fantasy, musical, romance","223590","1992-11-11","http://www.imdb.com/title/tt0103639/"
"2","tt0285333","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Alias","TV Series","","","7.6","42","2001","action, drama, mystery, sci_fi, thriller","34691","2001-09-09","http://www.imdb.com/title/tt0285333/"
"3","tt0147746","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Batman Beyond","TV Series","","","8.1","23","1999","adventure, animation, action, crime, mystery, sci_fi, drama, thriller","14938","1999-01-10","http://www.imdb.com/title/tt0147746/"
"4","tt0407362","Mon Jan 14 13:56:01 2013","Mon Jan 14 13:56:01 2013","","Battlestar Galactica","TV Series","","","8.8","44","2004","action, adventure, drama, sci_fi","106078","2004-10-18","http://www.imdb.com/title/tt0407362/"
"5","tt0397892","Wed Sep 21 19:58:13 2011","Wed Sep 21 19:58:13 2011","","Bolt","Feature Film","Byron Howard, Chris Williams","","6.9","96","2008","animation, adventure, comedy, family","128748","2008-11-17","http://www.imdb.com/title/tt0397892/"
"6","tt0105958","Wed Sep 21 20:21:08 2011","Wed Sep 21 20:21:08 2011","","Boy Meets World","TV Series","","","8.1","30","1993","comedy, drama, family","29359","1993-09-24","http://www.imdb.com/title/tt0105958/"
"7","tt0317219","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Cars","Feature Film","John Lasseter, Joe Ranft","","7.2","117","2006","animation, adventure, comedy, family, sport","217536","2006-03-14","http://www.imdb.com/title/tt0317219/"
"8","tt0381061","Sat May 26 09:58:38 2012","Sat May 26 09:58:38 2012","","Casino Royale","Feature Film","Martin Campbell","","8.0","144","2006","action, adventure, thriller","400603","2006-11-14","http://www.imdb.com/title/tt0381061/"
"9","tt0096557","Wed Sep 21 20:13:58 2011","Wed Sep 21 20:13:58 2011","","Chip 'n' Dale Rescue Rangers","TV Series","","","7.7","30","1989","animation, adventure, comedy, family, mystery","9019","1989-03-05","http://www.imdb.com/title/tt0096557/"
"10","tt0480242","Mon Jan 14 14:10:23 2013","Mon Jan 14 14:10:23 2013","","Dan in Real Life","Feature Film","Peter Hedges","","6.8","98","2007","comedy, drama, romance","82041","2007-10-26","http://www.imdb.com/title/tt0480242/"
"11","tt0092345","Wed Sep 21 20:14:19 2011","Wed Sep 21 20:14:19 2011","","DuckTales","TV Series","","","8.1","23","1987","animation, adventure, comedy, family","17628","1987-09-18","http://www.imdb.com/title/tt0092345/"
"12","tt0385700","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Final Fantasy VII: Advent Children","Feature Film","Tetsuya Nomura, Takeshi Nozue","","7.4","101","2005","animation, action, adventure, sci_fi, thriller","46010","2005-08-31","http://www.imdb.com/title/tt0385700/"
"13","tt0266543","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Finding Nemo","Feature Film","Andrew Stanton, Lee Unkrich","","8.2","100","2003","animation, adventure, comedy, family","572453","2003-05-30","http://www.imdb.com/title/tt0266543/"
"14","tt0113189","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","GoldenEye","Feature Film","Martin Campbell","","7.2","130","1995","action, adventure, thriller","179422","1995-11-13","http://www.imdb.com/title/tt0113189/"
"15","tt0299977","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hero","Feature Film","Yimou Zhang","","7.9","99","2002","action, adventure, history","139872","2002-10-24","http://www.imdb.com/title/tt0299977/"
"16","tt0386588","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hitch","Feature Film","Andy Tennant","","6.7","118","2005","comedy, romance","223692","2005-02-10","http://www.imdb.com/title/tt0386588/"
"17","tt0101120","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Home Improvement","TV Series","Andy Morris","","7.2","30","1991","comedy, family","27546","1991-09-17","http://www.imdb.com/title/tt0101120/"
"18","tt0102057","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hook","Feature Film","Steven Spielberg","","6.7","142","1991","adventure, comedy, family, fantasy","164427","1991-12-08","http://www.imdb.com/title/tt0102057/"
"19","tt0441773","Mon Jan 14 14:00:46 2013","Mon Jan 14 14:00:46 2013","","Kung Fu Panda","Feature Film","Mark Osborne, John Stevenson","","7.6","92","2008","animation, action, adventure, comedy, family","258664","2008-05-15","http://www.imdb.com/title/tt0441773/"
"20","tt1302011","Mon Jan 14 14:00:58 2013","Mon Jan 14 14:00:58 2013","","Kung Fu Panda 2","Feature Film","Jennifer Yuh Nelson","","7.3","91","2011","animation, action, adventure, comedy, drama, family","148346","2011-05-22","http://www.imdb.com/title/tt1302011/"
"21","tt0120755","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Mission: Impossible II","Feature Film","John Woo","","6.0","123","2000","action, adventure, thriller","208658","2000-05-24","http://www.imdb.com/title/tt0120755/"
"22","tt0317919","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Mission: Impossible III","Feature Film","J.J. Abrams","","6.8","126","2006","action, adventure, thriller","220824","2006-04-24","http://www.imdb.com/title/tt0317919/"
"23","tt0368891","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","National Treasure","Feature Film","Jon Turteltaub","","6.9","131","2004","action, adventure, mystery, thriller","232060","2004-11-08","http://www.imdb.com/title/tt0368891/"
